,0,1
0,0,"0.030*""available"" + 0.022*""research"" + 0.014*""used"" + 0.012*""well"" + 0.011*""regenerative"" + 0.011*""phase"" + 0.011*""medicinal"" + 0.010*""stem"" + 0.010*""ltd"" + 0.010*""field"""
1,1,"0.041*""marketing"" + 0.020*""products"" + 0.018*""treatments"" + 0.017*""review"" + 0.017*""results"" + 0.012*""therapies"" + 0.012*""data"" + 0.010*""us"" + 0.010*""important"" + 0.010*""patients"""
2,2,"0.021*""human"" + 0.019*""abstract"" + 0.015*""products"" + 0.013*""also"" + 0.012*""current"" + 0.012*""evidence"" + 0.012*""derived"" + 0.010*""application"" + 0.009*""early"" + 0.009*""response"""
3,3,"0.017*""approved"" + 0.016*""analysis"" + 0.014*""effective"" + 0.013*""need"" + 0.011*""tissue"" + 0.010*""novel"" + 0.009*""efficacy"" + 0.008*""using"" + 0.008*""disorders"" + 0.008*""therapies"""
4,4,"0.060*""clinical"" + 0.043*""drug"" + 0.025*""safety"" + 0.023*""disease"" + 0.015*""however"" + 0.014*""patient"" + 0.010*""public"" + 0.009*""system"" + 0.008*""therapy"" + 0.008*""european"""
5,5,"0.038*""development"" + 0.036*""based"" + 0.031*""cell"" + 0.017*""diseases"" + 0.014*""blood"" + 0.014*""cancer"" + 0.010*""time"" + 0.009*""associated"" + 0.009*""information"" + 0.008*""target"""
6,6,"0.024*""therapies"" + 0.023*""new"" + 0.018*""regulatory"" + 0.014*""product"" + 0.013*""medical"" + 0.013*""efficacy"" + 0.010*""science"" + 0.010*""risk"" + 0.009*""significant"" + 0.009*""effects"""
7,7,"0.089*""stem"" + 0.049*""cells"" + 0.021*""drugs"" + 0.015*""two"" + 0.013*""studies"" + 0.012*""approval"" + 0.010*""provide"" + 0.010*""published"" + 0.010*""future"" + 0.009*""survival"""
8,8,"0.086*""cell"" + 0.057*""patients"" + 0.022*""trials"" + 0.018*""gene"" + 0.017*""medicine"" + 0.011*""one"" + 0.011*""years"" + 0.011*""transplantation"" + 0.009*""health"" + 0.009*""related"""
9,9,"0.037*""therapy"" + 0.027*""treatment"" + 0.021*""study"" + 0.021*""potential"" + 0.017*""cell"" + 0.016*""including"" + 0.016*""market"" + 0.013*""high"" + 0.013*""therapeutic"" + 0.013*""may"""
