,0,1
0,0,"0.037*""development"" + 0.016*""market"" + 0.015*""including"" + 0.012*""disease"" + 0.011*""safety"" + 0.011*""therapies"" + 0.010*""us"" + 0.010*""high"" + 0.010*""trial"" + 0.010*""technology"""
1,1,"0.042*""cells"" + 0.034*""based"" + 0.030*""therapies"" + 0.018*""abstract"" + 0.017*""gene"" + 0.014*""stem"" + 0.010*""first"" + 0.010*""medicinal"" + 0.010*""different"" + 0.009*""industry"""
2,2,"0.043*""products"" + 0.025*""drugs"" + 0.021*""medicine"" + 0.019*""review"" + 0.015*""potential"" + 0.013*""medical"" + 0.012*""effects"" + 0.011*""disease"" + 0.011*""transplantation"" + 0.010*""currently"""
3,3,"0.027*""cell"" + 0.021*""studies"" + 0.020*""therapeutic"" + 0.017*""data"" + 0.014*""tissue"" + 0.013*""cells"" + 0.012*""diseases"" + 0.012*""approved"" + 0.011*""using"" + 0.008*""adverse"""
4,4,"0.086*""cell"" + 0.020*""efficacy"" + 0.019*""human"" + 0.014*""therapy"" + 0.013*""treatments"" + 0.012*""well"" + 0.011*""product"" + 0.008*""companies"" + 0.008*""field"" + 0.007*""hematopoietic"""
5,5,"0.074*""patients"" + 0.034*""treatment"" + 0.030*""drug"" + 0.025*""therapy"" + 0.024*""trials"" + 0.017*""regulatory"" + 0.015*""study"" + 0.014*""cell"" + 0.012*""blood"" + 0.011*""stem"""
6,6,"0.037*""marketing"" + 0.026*""safety"" + 0.025*""new"" + 0.016*""used"" + 0.012*""current"" + 0.011*""provide"" + 0.010*""time"" + 0.010*""years"" + 0.009*""science"" + 0.009*""various"""
7,7,"0.023*""results"" + 0.012*""cancer"" + 0.012*""two"" + 0.012*""patient"" + 0.011*""health"" + 0.010*""effective"" + 0.009*""eu"" + 0.009*""marketing"" + 0.008*""cell"" + 0.008*""survival"""
8,8,"0.063*""stem"" + 0.027*""research"" + 0.012*""may"" + 0.011*""system"" + 0.010*""clinical"" + 0.010*""quality"" + 0.009*""access"" + 0.009*""analysis"" + 0.008*""within"" + 0.007*""article"""
9,9,"0.047*""clinical"" + 0.027*""available"" + 0.024*""also"" + 0.014*""many"" + 0.013*""phase"" + 0.012*""future"" + 0.012*""stem"" + 0.011*""ltd"" + 0.010*""one"" + 0.010*""approval"""
