"","MR1","MR3","MR2"
"SS loadings",2.31308415142801,1.75289731695706,1.44910517578264
"Proportion Var",0.231308415142801,0.175289731695706,0.144910517578264
"Cumulative Var",0.231308415142801,0.406598146838506,0.55150866441677
"Proportion Explained",0.419410301354763,0.317836768495881,0.262752930149355
"Cumulative Proportion",0.419410301354763,0.737247069850645,1
